    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.138     0.157     0.086     0.087     0.077     0.176     0.258     0.168     0.162     0.142     0.289
     0.140     0.157     0.085     0.087     0.077     0.176     0.258     0.167     0.162     0.142     0.289
     0.142     0.158     0.085     0.087     0.077     0.176     0.258     0.167     0.162     0.142     0.289
     0.144     0.158     0.085     0.087     0.077     0.177     0.259     0.166     0.162     0.141     0.289
     0.146     0.158     0.085     0.087     0.077     0.177     0.259     0.166     0.162     0.141     0.290
     0.148     0.159     0.084     0.087     0.077     0.178     0.259     0.165     0.162     0.141     0.290
     0.150     0.159     0.084     0.087     0.077     0.178     0.259     0.164     0.162     0.141     0.290
     0.152     0.159     0.084     0.087     0.077     0.178     0.259     0.164     0.161     0.141     0.290
     0.154     0.160     0.084     0.087     0.077     0.179     0.259     0.163     0.161     0.141     0.290
     0.156     0.160     0.083     0.086     0.077     0.179     0.260     0.163     0.161     0.141     0.290
     0.158     0.161     0.083     0.086     0.076     0.180     0.260     0.162     0.161     0.141     0.291
     0.160     0.161     0.083     0.086     0.076     0.180     0.260     0.162     0.161     0.141     0.291
     0.162     0.161     0.082     0.086     0.076     0.181     0.260     0.161     0.161     0.141     0.291
     0.164     0.162     0.082     0.086     0.076     0.181     0.260     0.161     0.161     0.140     0.291
     0.166     0.162     0.082     0.086     0.076     0.181     0.260     0.160     0.161     0.140     0.291
     0.168     0.162     0.082     0.086     0.076     0.182     0.261     0.159     0.161     0.140     0.291
     0.170     0.163     0.081     0.086     0.076     0.182     0.261     0.159     0.161     0.140     0.292
     0.172     0.163     0.081     0.086     0.076     0.183     0.261     0.158     0.160     0.140     0.292
     0.174     0.164     0.081     0.086     0.076     0.183     0.261     0.158     0.160     0.140     0.292
     0.176     0.164     0.081     0.086     0.076     0.183     0.261     0.157     0.160     0.140     0.292
     0.178     0.164     0.081     0.086     0.076     0.184     0.261     0.157     0.160     0.140     0.292
     0.180     0.165     0.080     0.086     0.076     0.184     0.261     0.156     0.160     0.140     0.292
